iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CHN,China,tCO2e per capita,1.84,1.91,1.97,2.12,2.18,2.41,2.36,2.38,2.44,2.34,2.46,2.56,2.74,3.16,3.66,4.15,4.55,4.92,5.04,5.36,5.86,6.37,6.52,6.77,6.74,6.62,6.57,6.68,6.97,7.06,7.15
USA,United States,tCO2e per capita,19.27,18.87,18.89,19.08,19.12,19.08,19.44,20.19,20.12,19.96,20.32,20.03,19.30,19.36,19.44,19.31,18.79,18.89,18.14,16.71,17.33,16.50,15.68,16.00,15.92,15.44,15.03,14.70,15.10,14.55,12.91
IND,India,tCO2e per capita,0.62,0.65,0.66,0.67,0.70,0.73,0.75,0.78,0.78,0.83,0.84,0.84,0.86,0.86,0.91,0.94,0.99,1.07,1.13,1.22,1.28,1.33,1.43,1.46,1.57,1.56,1.56,1.63,1.71,1.67,1.51
RUS,Russia,tCO2e per capita,14.62,14.40,13.49,12.52,11.24,10.91,10.72,9.99,10.00,10.26,10.56,10.63,10.65,11.00,10.97,11.08,11.40,11.42,11.43,10.69,11.17,11.71,11.52,11.19,11.02,10.89,10.75,10.89,11.36,11.66,11.09
JPN,Japan,tCO2e per capita,8.52,8.58,8.63,8.54,8.93,9.00,9.08,8.99,8.66,8.95,9.06,8.95,9.21,9.25,9.20,9.26,9.08,9.35,8.83,8.41,8.85,9.30,9.63,9.73,9.36,9.06,8.96,8.86,8.56,8.28,7.84
IRN,Iran,tCO2e per capita,3.41,3.69,3.87,3.85,4.29,4.31,4.38,4.51,4.43,4.86,5.05,5.18,5.34,5.56,5.89,6.30,6.69,7.01,7.04,7.19,7.04,7.09,7.08,7.31,7.51,7.37,7.38,7.53,7.56,7.29,7.06
DEU,Germany,tCO2e per capita,11.83,11.48,10.89,10.75,10.57,10.52,10.86,10.45,10.36,9.96,9.91,10.13,9.95,9.98,9.78,9.57,9.72,9.35,9.45,8.82,9.30,9.13,9.29,9.47,8.93,8.93,8.92,8.70,8.38,7.77,7.09
KOR,South Korea,tCO2e per capita,5.41,5.91,6.31,6.85,7.33,7.92,8.38,8.75,7.43,8.11,8.99,9.10,9.11,9.10,9.56,9.50,9.59,9.81,9.97,10.18,11.12,11.49,11.46,11.39,11.09,11.41,11.50,11.68,11.74,11.34,10.55
IDN,Indonesia,tCO2e per capita,0.78,0.83,0.86,0.91,0.96,1.07,1.11,1.21,1.21,1.27,1.25,1.32,1.32,1.43,1.44,1.43,1.51,1.55,1.51,1.56,1.64,1.86,1.85,1.68,1.80,1.80,1.74,1.84,2.01,2.13,1.96
CAN,Canada,tCO2e per capita,14.94,14.57,14.86,14.54,14.86,15.07,15.38,15.72,15.85,16.02,16.52,16.11,16.49,16.98,16.56,16.79,16.36,17.15,16.35,15.35,15.62,15.82,15.55,15.67,15.69,15.48,15.25,15.36,15.45,14.86,13.41
