country_2,country_code,year,share_con_%,co2_emission_per_mio_usd,co2_per_capita,ghg_emission_per_mio_usd,ghg_emission_per_capita,carbon_intensity,dis_loss,gdp_per_capita_usd,total_gdp_usd,total_population_usd,industry_%
Albania,ALB,2000,41.36,888.64,1.0,924.21,1.04,48.63,27.24989535,1126.68334,3480355258.0,3089027.0,19.39568914
Albania,ALB,2001,39.04,824.61,1.06,856.37,1.1,51.49,36.08579088,1281.659826,3922100793.5,3060173.0,21.73577378
Albania,ALB,2002,35.82,865.19,1.23,899.21,1.28,62.0,27.50133761,1425.124219,4348068242.2,3051010.0,23.1063696
Albania,ALB,2003,33.67,683.44,1.26,705.09,1.3,36.33,28.88621795,1846.120121,5611496257.1,3039616.0,24.05560851
Albania,ALB,2004,35.84,559.83,1.33,580.4,1.38,39.64,11.4520157,2373.581292,7184685781.5,3026939.0,24.66556227
Albania,ALB,2005,36.77,476.82,1.27,495.22,1.32,33.4,11.53775491,2673.787816,8052077248.1,3011487.0,25.08160659
Albania,ALB,2006,31.62,427.84,1.27,443.67,1.32,35.71,45.05792904,2972.743621,8896075004.6,2992547.0,25.30802592
Albania,ALB,2007,32.0,355.0,1.28,367.84,1.32,42.4,72.9020979,3595.038295,10677324852.9,2970017.0,25.34033192
Albania,ALB,2008,35.79,289.22,1.26,299.92,1.31,23.94,38.53041875,4370.539716,12881352893.7,2947314.0,25.16101033
Albania,ALB,2009,37.09,314.12,1.29,324.92,1.34,23.08,23.58708189,4114.134033,12044205549.7,2927519.0,24.41377839
Albania,ALB,2010,36.99,331.01,1.36,341.69,1.4,23.78,12.65856237,4094.349686,11926926615.8,2913021.0,24.93746193
Albania,ALB,2011,35.84,322.73,1.43,332.72,1.48,33.41,24.9343832,4437.141161,12890760315.1,2905195.0,24.48447822
Albania,ALB,2012,39.91,284.24,1.21,294.24,1.25,23.31,23.68253968,4247.631343,12319834195.3,2900401.0,22.91855334
Albania,ALB,2013,41.14,286.98,1.27,296.7,1.31,24.43,27.99252766,4413.063383,12776224497.0,2895092.0,23.06131685
Albania,ALB,2014,38.56,313.2,1.43,322.93,1.48,23.31,23.68755292,4578.633208,13228147516.1,2889104.0,21.50884574
Algeria,DZA,2000,0.43,1391.81,2.46,2534.78,4.47,638.58,16.15378561,1780.376063,54790398570.3,30774621.0,53.33096965
Algeria,DZA,2001,0.43,1367.79,2.38,2476.63,4.31,638.24,16.28920188,1754.582361,54744697926.1,31200985.0,49.19828261
Algeria,DZA,2002,0.51,1380.3,2.46,2494.59,4.44,637.98,15.71903935,1794.811114,56760355865.0,31624696.0,48.30065537
Algeria,DZA,2003,0.47,1240.08,2.61,2270.45,4.78,634.09,14.23353962,2117.048229,67863850334.0,32055883.0,49.98314079
Algeria,DZA,2004,0.44,991.36,2.59,1824.78,4.76,634.56,15.9232,2624.795232,85332581188.6,32510186.0,51.49832082
Algeria,DZA,2005,0.58,857.82,2.67,1573.44,4.9,629.31,13.19475158,3131.32819,103198212442.7,32956690.0,56.5538885
Algeria,DZA,2006,0.41,796.98,2.77,1435.19,4.99,635.82,17.87032306,3500.134594,117027280155.4,33435080.0,58.1285649
Algeria,DZA,2007,0.41,709.37,2.8,1258.99,4.97,635.92,17.8702011,3971.803488,134977082623.8,33983827.0,56.68648158
Algeria,DZA,2008,0.3,585.74,2.88,1018.65,5.02,635.35,18.11064718,4946.564017,171000699876.7,34569592.0,57.8354418
Algeria,DZA,2009,0.31,757.61,2.94,1267.61,4.92,634.55,20.41245682,3898.478788,137211003661.7,35196037.0,46.9481768
Algeria,DZA,2010,0.26,657.09,2.94,1089.05,4.88,637.0,19.87799012,4495.921476,161207307027.2,35856344.0,49.9674271
Algeria,DZA,2011,0.18,562.95,3.07,899.41,4.91,633.35,19.32492582,5473.281826,200013098817.3,36543541.0,49.14014652
Algeria,DZA,2012,0.18,608.62,3.4,943.38,5.28,632.75,19.2832378,5610.733282,209059080929.5,37260563.0,47.36116836
Algeria,DZA,2013,0.13,628.0,3.45,959.41,5.28,636.0,18.40540992,5519.777576,209755003250.7,38000626.0,43.90409997
Algeria,DZA,2014,0.07,655.1,3.6,992.01,5.45,637.0,17.12742443,5516.22944,213809979836.3,38760168.0,41.94030182
Angola,AGO,2000,73.44,1766.0,0.98,3153.48,1.76,256.94,14.60207612,556.8842435,9129594815.6,16394062.0,72.12295494
Angola,AGO,2001,72.34,1760.78,0.93,3139.92,1.66,262.2,14.52991453,527.4641184,8936079251.4,16941587.0,64.88381154
Angola,AGO,2002,70.42,1010.76,0.88,1859.86,1.62,250.0,14.61756374,872.657638,15285592486.3,17516139.0,56.07579654
Angola,AGO,2003,65.14,925.47,0.91,1647.17,1.62,261.31,12.93233083,982.8055897,17812704627.0,18124342.0,53.11699779
Angola,AGO,2004,61.92,728.33,0.91,1312.26,1.65,160.71,26.43369176,1254.696126,23552057820.5,18771125.0,54.62993328
Angola,AGO,2005,68.38,413.57,0.79,833.72,1.59,121.67,23.76166547,1900.723816,36970901023.8,19450959.0,60.40199346
Angola,AGO,2006,62.13,305.83,0.8,618.33,1.61,117.45,11.79673321,2597.963585,52381025102.3,20162340.0,58.10933117
Angola,AGO,2007,58.49,251.65,0.79,531.27,1.66,169.75,13.39757538,3121.348735,65266415707.0,20909684.0,61.88353785
Angola,AGO,2008,54.88,209.97,0.86,438.26,1.79,162.96,10.00962464,4081.717497,88538664884.3,21691522.0,60.2548204
Angola,AGO,2009,52.41,290.89,0.91,564.92,1.76,236.25,10.01055966,3123.698898,70307196474.1,22507674.0,44.05637413
Angola,AGO,2010,52.51,272.01,0.95,514.73,1.8,227.11,11.50669848,3586.66368,83799473759.7,23364185.0,52.36843758
Angola,AGO,2011,51.06,211.09,0.95,384.83,1.74,208.48,11.27234118,4608.155166,111789747670.6,24259111.0,56.02651389
Angola,AGO,2012,49.47,181.77,0.9,333.65,1.66,207.25,11.26692456,5083.826851,128052915203.0,25188292.0,56.91821896
Angola,AGO,2013,47.95,190.41,0.98,329.61,1.69,289.57,11.27069133,5061.34924,132339108708.4,26147002.0,53.36285218
Angola,AGO,2014,48.27,201.35,1.03,334.55,1.7,324.27,11.26582278,5011.984412,135966802156.5,27128337.0,46.20332557
Argentina,ARG,2000,9.85,455.64,3.51,545.71,4.21,355.47,14.83297717,7666.517834,284203750000.0,37070774.0,25.99083601
Argentina,ARG,2001,11.51,456.92,3.29,555.74,4.01,302.09,14.25622815,7168.975872,268696750000.0,37480493.0,25.24343398
Argentina,ARG,2002,11.62,1184.29,3.07,1454.72,3.77,294.83,17.1704972,2579.488769,97724004251.9,37885028.0,30.55773709
