iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CHN,China,tCO2e per capita,2.08,2.15,2.21,2.36,2.43,2.68,2.63,2.64,2.69,2.58,2.71,2.82,3.01,3.46,4.00,4.53,4.95,5.34,5.47,5.81,6.34,6.89,7.03,7.29,7.26,7.14,7.05,7.17,7.47,7.57,7.67
USA,United States,tCO2e per capita,20.57,20.15,20.16,20.31,20.36,20.32,20.68,21.42,21.34,21.15,21.51,21.20,20.45,20.50,20.58,20.45,19.92,20.04,19.30,17.84,18.51,17.73,16.94,17.28,17.28,16.80,16.31,16.02,16.54,16.10,14.31
IND,India,tCO2e per capita,0.71,0.75,0.75,0.76,0.78,0.82,0.84,0.87,0.87,0.91,0.93,0.93,0.94,0.95,1.00,1.03,1.08,1.17,1.22,1.32,1.38,1.44,1.54,1.56,1.68,1.67,1.67,1.74,1.83,1.78,1.61
RUS,Russia,tCO2e per capita,17.51,17.11,16.03,14.93,13.55,13.15,12.94,12.12,12.16,12.49,12.86,12.99,13.10,13.66,13.71,13.94,14.26,14.32,14.30,13.46,14.05,14.65,14.39,14.05,13.85,13.75,13.69,13.92,14.54,14.86,14.26
JPN,Japan,tCO2e per capita,8.62,8.69,8.74,8.65,9.05,9.11,9.20,9.10,8.78,9.08,9.18,9.07,9.34,9.38,9.33,9.39,9.21,9.48,8.95,8.53,8.97,9.43,9.76,9.87,9.49,9.19,9.09,8.98,8.68,8.40,7.95
IRN,Iran,tCO2e per capita,4.77,5.13,5.34,5.38,5.80,5.79,5.87,5.98,5.83,6.24,6.51,6.61,6.71,7.13,7.51,7.97,8.40,8.74,8.75,8.89,8.76,8.80,8.64,8.79,9.09,8.97,9.29,9.55,9.53,8.92,8.58
IDN,Indonesia,tCO2e per capita,1.04,1.12,1.15,1.21,1.27,1.38,1.43,1.53,1.53,1.59,1.56,1.64,1.64,1.76,1.77,1.77,1.88,1.92,1.88,1.95,2.05,2.32,2.31,2.15,2.25,2.22,2.16,2.26,2.44,2.58,2.38
DEU,Germany,tCO2e per capita,12.05,11.68,11.08,10.93,10.75,10.70,11.05,10.64,10.54,10.14,10.10,10.31,10.13,10.16,9.96,9.76,9.92,9.54,9.65,9.00,9.50,9.32,9.48,9.66,9.10,9.11,9.09,8.87,8.55,7.94,7.25
CAN,Canada,tCO2e per capita,16.09,15.74,16.08,15.81,16.17,16.43,16.77,17.13,17.30,17.47,17.99,17.58,17.97,18.47,18.06,18.28,17.89,18.69,17.84,16.76,17.07,17.32,17.04,17.22,17.31,17.11,16.93,17.12,17.27,16.64,15.08
SAU,Saudi Arabia,tCO2e per capita,13.07,14.54,14.95,14.36,13.94,13.50,13.90,13.85,14.29,14.10,14.42,14.14,14.48,14.94,15.21,15.61,15.96,16.15,17.02,16.88,17.90,18.19,18.57,18.25,18.92,19.30,18.90,18.24,17.28,16.91,16.14
