Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,44.99,45.6,37.83,36.66,44.24,33.88,31.89,28.78,21.17,16.53,15.15,12.61,15.36,16.86,18.93,17.53,19.92,19.21,17.96,18.51,17.58,17.86,..,..
Albania,ALB,41.36,39.04,35.82,33.67,35.84,36.77,31.62,32,35.79,37.09,36.99,35.84,39.91,41.14,38.56,38.49,39.44,36.94,37.83,40.11,44.58,..,..,..
Algeria,DZA,0.43,0.43,0.51,0.47,0.44,0.58,0.41,0.41,0.3,0.31,0.26,0.18,0.18,0.13,0.07,0.06,0.08,0.14,0.19,0.16,0.15,..,..,..
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.24,0.23,0.23,0.3,0.49,0.49,0.5,0.51,0.52,..,..
Andorra,AND,14.51,15.39,15.83,16.52,16.57,16.61,17.57,16.56,17.02,17.13,18.67,18.55,18.76,19.14,19.45,19.32,19.3,19.02,18.58,18.46,21.86,20.59,..,..
Angola,AGO,73.44,72.34,70.42,65.14,61.92,68.38,62.13,58.49,54.88,52.41,52.51,51.06,49.47,47.95,48.27,47.84,49.03,56.25,55.94,54.39,61.02,..,..,..
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0.06,0.11,0.11,0.11,0.36,0.45,0.45,0.7,0.69,0.74,0.72,..,..
Argentina,ARG,9.85,11.51,11.62,10.82,9.29,9.64,9.18,7.72,7.65,8.59,8.79,8.83,8.61,8.91,9.79,9.4,9.38,10.37,10.52,10.74,9.84,..,..,..
Armenia,ARM,7.16,5.42,8.9,9.81,8.71,6.49,7.65,7.02,6.4,7.8,9.36,8.01,6.56,6.77,7.08,10.74,13.15,12.56,11.13,10.34,8.38,..,..,..
Aruba,ABW,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.3,5.46,5.66,6.86,6.89,6.93,6.73,6.99,6.7,8.31,8.18,8.67,8.5,..,..
Australia,AUS,8.42,8.37,8.74,7.15,6.68,6.71,6.85,6.95,6.79,7.15,8.16,8.32,8.3,9.22,9.33,9.32,9.36,9.65,9.6,10.06,10.89,..,..,..
Austria,AUT,26.43,25.53,24.68,22.56,23.17,24.41,26.64,28.99,29.68,31.31,31.15,31.64,34.37,34.58,35.67,34.82,34.63,33.97,34.08,33.98,35.77,..,..,..
Azerbaijan,AZE,2.07,1.75,2.35,2.94,3.07,3.36,2.86,3.78,3.08,3.27,4.45,3.55,2.84,2.52,2.12,2.33,1.94,1.91,1.93,1.62,1.23,..,..,..
"Bahamas, The",BHS,0,0.42,0.38,1.54,1.59,1.71,2.01,3.54,1.97,1.53,1.3,1.44,1.41,1.43,1.4,1.45,1.33,1.15,1.2,1.18,1.41,1.27,..,..
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Bangladesh,BGD,60.2,55.96,54.47,52.62,52.05,50.66,48.69,47.19,45.2,43.1,40.31,38.44,37.36,36.96,35.34,31.12,30.23,28.01,25.79,26.37,27.96,..,..,..
Barbados,BRB,7.91,7.68,6.97,6.19,6.28,6.38,6.59,6.36,5.7,6.53,6.41,3.12,3.01,2.37,2.33,2.13,2.4,3.46,4.15,2.79,4.57,4.68,..,..
Belarus,BLR,5.65,6.26,6.52,6.25,6.27,6.83,7.2,7.28,7.08,7.39,7.29,7.52,7.24,6.97,6.69,6.82,6.72,7.28,7.21,7.81,8.39,..,..,..
Belgium,BEL,1.44,1.58,1.68,1.89,2.04,2.44,2.87,3.4,3.95,4.87,6.25,6.7,7.69,8.26,9.13,9.42,9.2,9.66,10.65,10.2,12.28,..,..,..
Belize,BLZ,34.55,29.61,31.19,30.18,32.02,31.01,36.8,32.31,34.06,29.18,32.93,44.36,50.07,40.99,37.43,30.32,33.27,37.24,35.53,30.43,30.2,31.35,..,..
Benin,BEN,70.29,66.86,64.04,61.73,60.69,59.2,57.31,54.49,54.76,52.83,47.19,48.7,50.33,51.97,51.05,49.94,45.42,45.38,43.97,46.47,46.2,..,..,..
Bermuda,BMU,0.46,0.54,0.51,0.51,0.52,0.49,0.44,0.5,0.46,0.43,0.43,0.42,0.44,1.47,0.43,0.55,1.09,0.63,0.68,0.81,0.95,0.91,..,..
Bhutan,BTN,91.4,91.75,91.2,91.92,93.46,91.67,91.92,92.07,91.81,92.38,90.8,89.01,87.32,86.7,86.54,86.68,85.02,83.63,82.61,82.85,88.39,87.45,..,..
Bolivia,BOL,29.79,29.59,28.67,27.52,26.26,25.07,23.7,22.07,21.3,20.62,19.93,18.1,17.36,16.02,15.03,14.22,13.62,14.29,14.33,13.52,16.86,..,..,..
Bosnia and Herzegovina,BIH,19.35,20.27,21.21,20.14,20.1,19.73,18.12,14.84,14.28,17.43,19.57,14.16,15.28,19.48,23.65,25.25,23,18.49,35.36,36.84,37.71,..,..,..
Botswana,BWA,38.46,37.51,36.13,36.21,34.34,33,31.4,29.03,27.86,28.29,29.41,28.41,27.55,26.36,25.38,25.59,26.13,26.11,25.11,25.74,27.21,..,..,..
Brazil,BRA,42.66,41.33,42.85,45.11,45.18,46.13,46.67,47.19,47.04,48.92,46.81,45.26,43.49,42.32,41.71,43.62,45.46,45.33,46.95,47.58,50.05,..,..,..
British Virgin Islands,VGB,0.87,0.86,0.84,0.79,0.77,0.76,0.72,0.71,0.71,0.73,0.71,0.89,0.91,0.97,1,1,1,1.15,1.24,1.25,1.42,1.38,..,..
Brunei Darussalam,BRN,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,..,..,..
Bulgaria,BGR,7.97,7.24,8.7,9.16,9.55,9.83,9.96,8.85,9.94,11.62,14.27,13.22,15.63,18.24,17.15,17.85,17.71,17.11,19.59,19.32,21.08,..,..,..
Burkina Faso,BFA,85.4,85.49,85.43,85.3,85.31,87.7,85.88,84.3,84.43,84.81,82.8,81.98,78.79,77.09,76.84,74.55,74.14,71.13,69.13,67.2,67.51,68,..,..
Burundi,BDI,93.23,94.84,94.65,95.76,96.04,96.01,95.31,95.29,95.15,95.18,92.58,91.66,91.47,91.11,91.31,91.18,89.58,88.19,85.65,84.84,83.52,83.25,..,..
Cabo Verde,CPV,27.88,25.97,25.98,24.83,24.38,23.88,21.18,21.04,23.81,22.08,21.22,20.78,24.26,25.94,26.11,26.35,26.31,24.66,23.13,22.41,23.42,23.24,..,..
Cambodia,KHM,81.58,80.51,80.97,79.92,80.69,79.24,78.01,74.79,74.13,68.04,64.82,63.99,64.36,64.97,63.7,60.63,58,56.32,58.15,53.05,51.41,..,..,..
Cameroon,CMR,84.59,85.3,85.26,85.3,85.53,86.31,85.51,80.82,80.82,79.22,78.74,78.63,78.57,77.67,76.88,78.06,78.78,79.18,78.57,78.79,78.94,..,..,..
Canada,CAN,22.04,21.53,21.77,21.18,21.58,21.26,21.18,21.26,21.3,21.94,21.13,21.17,21.44,21.84,21.83,21.83,21.62,22.35,21.92,22.47,23.85,..,..,..
Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,..,..
Central African Republic,CAF,88.9,88.92,89.22,90.25,90.64,90.96,90.8,90.88,93.64,93.91,93.84,93.33,93.07,95.08,94.82,92.86,92.11,91.58,91.42,91.26,90.88,90.45,..,..
Chad,TCD,88.7,88.6,88.53,83.91,84,83.82,83.74,82.38,79.85,79.36,79.23,80.68,76.08,72.62,72.52,72.66,72.72,72.84,73.13,72.78,73.55,73.74,..,..
Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,31.36,32.15,33.07,31.62,31.44,32.26,32.91,30.46,30.83,31.53,27.04,28.79,30.31,30.23,26.95,25.06,24.55,24.1,25.46,25.27,26.73,..,..,..
China,CHN,29.63,28.36,27,23.86,20.17,17.44,16.39,14.88,14.14,13.43,12.26,11.34,11.53,11.47,11.91,12.18,12.6,13.14,13.55,14.33,14.81,..,..,..
Colombia,COL,27.85,27.08,28.63,30.55,29.04,28.94,29.58,30.3,29.85,30.78,29.63,28.74,28.8,32.13,32.22,31.46,30.6,32.38,30.57,31.5,31.31,..,..,..
Comoros,COM,69.87,69.51,70.31,64.39,63.52,65.74,61.81,74.36,73.44,68.53,66.02,68.99,67.5,62.23,65.8,64.06,60.4,56.32,54.59,53,48.29,39.05,..,..
"Congo, Dem. Rep.",COD,97.94,98.34,98.27,97.97,97.88,97.42,97.33,97.17,96.97,97.02,96.81,96.21,95.47,93.92,92.87,95.82,97.03,96.7,96.38,96.29,96.16,..,..,..
"Congo, Rep.",COG,64.86,61.18,68.53,61.99,63.03,63.11,69.42,60.34,56.86,56.03,54.8,64.62,65.3,62.51,62.27,64.15,67.63,69.75,70.51,69.97,71.88,..,..,..
