,country,country_code,year,gdp_per_capita_usd,total_gdp_usd,total_population_usd,industry_%
0,Afghanistan,AFG,2000-01-01,,,19542982.0,
1,Albania,ALB,2000-01-01,1126.68334,3480355258.0,3089027.0,19.39568914
2,Algeria,DZA,2000-01-01,1780.376063,54790398570.3,30774621.0,53.33096965
3,American Samoa,ASM,2000-01-01,,,58230.0,
4,Andorra,AND,2000-01-01,21620.4651,1429047881.8,66097.0,14.84375504
5,Angola,AGO,2000-01-01,556.8842435,9129594815.6,16394062.0,72.12295494
6,Antigua and Barbuda,ATG,2000-01-01,11010.19746,826370370.4,75055.0,13.89073144
7,Argentina,ARG,2000-01-01,7666.517834,284203750000.0,37070774.0,25.99083601
8,Armenia,ARM,2000-01-01,603.2980252,1911563668.9,3168523.0,
9,Aruba,ABW,2000-01-01,21026.16709,1873452514.0,89101.0,13.17595453
10,Australia,AUS,2000-01-01,21870.41597,416167815092.9,19028802.0,24.55053314
11,Austria,AUT,2000-01-01,24625.60072,197289625479.9,8011566.0,28.28480203
12,Azerbaijan,AZE,2000-01-01,655.0972496,5272615723.0,8048600.0,42.53830991
13,"Bahamas, The",BHS,2000-01-01,24849.60648,8076470000.0,325014.0,12.14887197
14,Bahrain,BHR,2000-01-01,12738.77412,9062898936.2,711442.0,
15,Bangladesh,BGD,2000-01-01,413.1001853,53369787318.6,129193327.0,22.27938268
16,Barbados,BRB,2000-01-01,11560.2459,3059500000.0,264657.0,15.30642262
17,Belarus,BLR,2000-01-01,1276.280381,12736780455.2,9979610.0,33.47894633
18,Belgium,BEL,2000-01-01,23098.88651,236792460312.5,10251250.0,24.94383258
19,Belize,BLZ,2000-01-01,4720.168218,1134756760.6,240406.0,22.73306859
20,Benin,BEN,2000-01-01,502.9979811,3519991440.5,6998023.0,18.75634821
21,Bermuda,BMU,2000-01-01,56284.16865,3480219000.0,61833.0,11.07301006
22,Bhutan,BTN,2000-01-01,722.8267562,424448931.0,587207.0,36.43680288
23,Bolivia,BOL,2000-01-01,977.3294177,8397855484.8,8592656.0,25.73902218
24,Bosnia and Herzegovina,BIH,2000-01-01,1332.210217,5567772768.8,4179350.0,21.53739169
25,Botswana,BWA,2000-01-01,3351.696517,5788329609.2,1726985.0,46.30053029
26,Brazil,BRA,2000-01-01,3726.811669,655448231983.5,175873720.0,23.00661863
27,British Virgin Islands,VGB,2000-01-01,,,20104.0,
28,Brunei Darussalam,BRN,2000-01-01,17971.89229,6001282104.1,333926.0,63.66977334
29,Bulgaria,BGR,2000-01-01,1621.262107,13245990274.5,8170172.0,22.67758298
30,Burkina Faso,BFA,2000-01-01,249.8020757,2968370087.6,11882888.0,21.87075455
31,Burundi,BDI,2000-01-01,138.0046172,870486065.9,6307659.0,15.53957069
32,Cabo Verde,CPV,2000-01-01,1176.707258,539227277.6,458251.0,21.74719078
33,Cambodia,KHM,2000-01-01,301.5165985,3654031716.4,12118841.0,21.85665448
34,Cameroon,CMR,2000-01-01,700.1632362,10566579295.0,15091594.0,28.48270099
35,Canada,CAN,2000-01-01,24271.00206,744773415931.6,30685730.0,29.50003752
36,Cayman Islands,CYM,2000-01-01,,,39658.0,
37,Central African Republic,CAF,2000-01-01,243.8775801,916777282.7,3759170.0,
38,Chad,TCD,2000-01-01,168.1176582,1388506771.6,8259137.0,10.91267423
39,Channel Islands,CHI,2000-01-01,44318.2211,6439703434.7,145306.0,
40,Chile,CHL,2000-01-01,5102.968761,78339750717.0,15351799.0,27.83290073
41,China,CHN,2000-01-01,959.3604313,1211331651829.9,1262645000.0,45.53610318
42,Colombia,COL,2000-01-01,2546.850214,99875074951.0,39215135.0,27.30577228
43,Comoros,COM,2000-01-01,654.1804308,351136579.6,536758.0,12.20627155
44,"Congo, Dem. Rep.",COD,2000-01-01,392.6263338,19088046305.8,48616317.0,22.4057063
45,"Congo, Rep.",COG,2000-01-01,1029.960689,3227927697.6,3134030.0,72.15267176
46,Costa Rica,CRI,2000-01-01,3773.033793,15013629658.7,3979193.0,25.44499083
47,Cote d'Ivoire,CIV,2000-01-01,986.7773528,16577533891.2,16799670.0,13.93680252
48,Croatia,HRV,2000-01-01,4952.377753,22128719418.4,4468302.0,24.20885308
49,Cuba,CUB,2000-01-01,2752.203783,30565400000.0,11105791.0,25.53508215
50,Curacao,CUW,2000-01-01,,,133860.0,14.78992193
